,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f_rotated_[Fiji],0.691,0.567,-0.195,1.654,0.007,0.006,6734.0,2964.0,1.0
f_rotated_[Finland],-0.304,0.972,-1.928,1.184,0.011,0.018,7667.0,2725.0,1.0
f_rotated_[France],-0.297,0.987,-1.891,1.344,0.01,0.017,9104.0,2670.0,1.0
f_rotated_[French Guiana],0.238,0.638,-0.78,1.321,0.008,0.009,7051.0,2895.0,1.0
f_rotated_[French Polynesia],0.684,0.562,-0.187,1.604,0.007,0.005,8274.0,3022.0,1.0
f_rotated_[French Southern Territories],-0.422,0.945,-1.986,1.075,0.01,0.02,8270.0,2233.0,1.0
f_rotated_[Gabon],0.538,0.82,-0.797,1.864,0.013,0.01,3960.0,2993.0,1.0
f_rotated_[Gambia],0.031,0.631,-0.973,1.058,0.01,0.012,3796.0,2438.0,1.0
f_rotated_[Georgia],-0.182,0.965,-1.782,1.392,0.011,0.016,8223.0,2823.0,1.0
f_rotated_[Germany],-0.373,0.941,-1.885,1.167,0.011,0.017,7336.0,3095.0,1.0
f_rotated_[Ghana],-0.204,0.829,-1.568,1.13,0.011,0.013,5474.0,2996.0,1.0
f_rotated_[Gibraltar],-0.608,0.957,-2.258,0.87,0.014,0.015,4784.0,2365.0,1.0
f_rotated_[Greece],-0.114,0.974,-1.697,1.451,0.013,0.017,5869.0,2770.0,1.0
f_rotated_[Greenland],-0.333,0.985,-1.979,1.259,0.011,0.018,7998.0,2385.0,1.0
f_rotated_[Grenada],1.17,0.71,0.047,2.323,0.012,0.009,3453.0,2963.0,1.0
f_rotated_[Guadeloupe],0.174,0.946,-1.42,1.654,0.013,0.017,5550.0,2832.0,1.0
f_rotated_[Guam],-0.298,0.727,-1.513,0.834,0.008,0.011,7675.0,3238.0,1.0
f_rotated_[Guatemala],-0.232,0.843,-1.616,1.147,0.01,0.014,7466.0,3070.0,1.0
f_rotated_[Guernsey],-0.663,0.909,-2.138,0.809,0.012,0.013,5850.0,2642.0,1.0
f_rotated_[Guinea-Bissau],-0.305,0.875,-1.698,1.156,0.01,0.014,7168.0,3111.0,1.0
f_rotated_[Guinea],-0.259,0.755,-1.452,0.979,0.009,0.012,6798.0,2828.0,1.0
f_rotated_[Guyana],-0.244,0.72,-1.386,0.95,0.009,0.011,6948.0,2861.0,1.0
f_rotated_[Haiti],-0.555,0.82,-1.862,0.801,0.012,0.013,4792.0,2887.0,1.0
f_rotated_[Heard Island and McDonald Islands],-0.298,0.965,-1.831,1.345,0.011,0.017,7239.0,2852.0,1.0
f_rotated_[Honduras],0.121,0.81,-1.207,1.414,0.011,0.015,5521.0,2920.0,1.0
f_rotated_[Hong Kong],-0.311,0.723,-1.538,0.88,0.008,0.013,7749.0,2454.0,1.0
f_rotated_[Hungary],-0.552,0.943,-2.111,0.948,0.012,0.014,5926.0,2451.0,1.0
