LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,GAUL_AD2,POINT_ID,UNIQUE_LOCATION,X,Y,YEAR,COUNTRY,REGION
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1982,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1982,Indonesia,Asia
polygon,1,153,1711,-999,-999,40725,103.387315,2.047911,1982,Malaysia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1982,Thailand,Asia
polygon,1,115,2278,-999,-999,21019,77.108979,28.646519,1982,India,Asia
polygon,1,153,12912,-999,-999,40731,100.888031,5.819937,1982,Malaysia,Asia
polygon,2,37,624,10673,-999,88394,-60.717424,3.118279,1982,Brazil,Americas
polygon,1,153,2151,-999,-999,40759,102.207603,2.77725,1982,Malaysia,Asia
polygon,1,240,61314,-999,-999,30397,100.113965,6.480503,1982,Thailand,Asia
polygon,1,153,327,-999,-999,40754,102.306061,2.3256,1982,Malaysia,Asia
polygon,1,153,1306,-999,-999,40840,101.500239,3.27258,1982,Malaysia,Asia
polygon,1,1006344,1043,-999,-999,1012661,-103.912946,19.141064,1982,Mexico,Americas
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1982,Niue,Oceania
polygon,1,153,3392,-999,-999,40752,101.68961,3.144215,1982,Malaysia,Asia
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1982,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1982,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1982,Viet Nam,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1983,Viet Nam,Asia
polygon,0,83,-999,-999,-999,3207,177.893439,-17.689834,1983,Fiji,Oceania
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1983,Thailand,Asia
polygon,2,240,1761,26425,-999,104146,100.670111,13.708336,1983,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1983,Thailand,Asia
polygon,2,1006344,1043,1009278,-999,1009278,-104.274006,19.149218,1983,Mexico,Americas
